,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cabo San Lucas,5,MX,1561312897,51,22.89,-109.91,95.0,6.93
1,Karratha,37,AU,1561313023,78,-20.74,116.85,68.11,5.59
2,Taoudenni,0,ML,1561313023,5,22.68,-3.98,108.43,10.85
3,Avarua,50,CK,1561312823,49,-21.21,-159.78,71.6,9.17
4,Severo-Kurilsk,89,RU,1561313023,85,50.68,156.12,43.09,5.99
5,Mataura,100,NZ,1561313024,96,-46.19,168.86,46.99,5.01
6,Lompoc,1,US,1561313024,68,34.64,-120.46,73.0,6.93
7,Rikitea,100,PF,1561313025,83,-23.12,-134.97,69.37,12.41
8,Soplaviento,0,CO,1561313025,70,10.39,-75.14,89.6,9.17
9,New Norfolk,0,AU,1561313026,94,-42.78,147.06,36.0,8.05
10,Yellowknife,75,CA,1561313026,60,62.45,-114.38,68.0,4.7
11,Pisco,90,PE,1561313026,30,-13.71,-76.2,71.6,3.36
12,Mitsamiouli,20,KM,1561313027,78,-11.38,43.28,77.0,3.36
13,Port Alfred,12,ZA,1561313027,91,-33.59,26.89,59.0,4.0
14,Vaini,100,IN,1561313028,93,15.34,74.49,76.93,3.42
15,Punta Arenas,75,CL,1561313028,86,-53.16,-70.91,37.4,6.93
16,Ust-Kuyga,0,RU,1561313028,52,70.0,135.55,65.23,4.07
17,Jabinyanah,0,TN,1561312813,43,35.03,10.91,89.6,10.29
18,Peniche,75,PT,1561313029,78,39.36,-9.38,73.99,8.05
19,Atuona,31,PF,1561313029,80,-9.8,-139.03,80.89,17.16
20,Hobart,0,AU,1561313030,94,-42.88,147.33,36.0,8.05
21,Bluff,66,AU,1561313031,59,-23.58,149.07,54.79,5.93
22,Kungurtug,100,RU,1561313031,77,50.6,97.53,51.01,4.68
23,Saint George,40,GR,1561313032,62,39.45,22.34,87.01,9.17
24,Aklavik,40,CA,1561312781,72,68.22,-135.01,62.6,8.05
25,Belmonte,100,PT,1561313033,54,40.36,-7.35,73.0,3.94
26,Marsa Matruh,20,EG,1561312808,78,31.35,27.25,80.6,11.41
27,Lavrentiya,100,RU,1561313034,78,65.58,-170.99,36.79,2.1
28,Ha Giang,100,VN,1561313034,97,22.83,104.99,69.01,3.27
29,Khatanga,100,RU,1561313035,80,71.98,102.47,57.49,10.09
30,Busselton,17,AU,1561313035,60,-33.64,115.35,55.0,24.94
31,Tuktoyaktuk,75,CA,1561313035,87,69.44,-133.03,50.0,12.75
32,Albany,40,US,1561312828,39,42.65,-73.75,84.0,11.41
33,Puerto Leguizamo,100,CO,1561313037,99,-0.19,-74.78,68.11,2.75
34,Oranjemund,0,ZA,1561313038,66,-28.55,16.43,58.57,9.26
35,Tasiilaq,90,GL,1561313038,86,65.61,-37.64,39.2,6.93
36,Havelock,90,US,1561313028,45,34.88,-76.9,82.4,9.17
37,Hay River,75,CA,1561313039,82,60.82,-115.79,57.2,6.93
38,Victoria,90,BN,1561313039,88,5.28,115.24,78.8,3.36
39,Aldan,0,RU,1561313040,95,58.61,125.39,47.77,3.09
40,High Level,40,CA,1561313040,64,58.52,-117.13,68.0,6.93
41,Manbij,0,SY,1561313041,45,36.53,37.96,84.2,8.05
42,Nishihara,90,JP,1561312777,100,35.74,139.53,69.01,6.93
43,Georgetown,40,GY,1561313042,74,6.8,-58.16,91.4,11.41
44,Ketchikan,90,US,1561313043,87,55.34,-131.65,53.6,13.87
45,Hambantota,64,LK,1561313043,83,6.12,81.12,82.87,19.37
46,Arraial do Cabo,0,BR,1561313044,69,-22.97,-42.02,78.8,13.87
47,Bambous Virieux,75,MU,1561313044,78,-20.34,57.76,71.6,14.99
48,Saskylakh,100,RU,1561313044,57,71.97,114.09,60.73,10.07
49,Hilo,90,US,1561313045,73,19.71,-155.08,78.01,3.36
50,Palmer,20,US,1561313019,63,61.6,-149.11,66.99,3.36
51,Vestmannaeyjar,90,IS,1561313046,93,63.44,-20.27,51.8,11.41
52,Butaritari,51,KI,1561313047,77,3.07,172.79,83.05,8.03
53,Igunga,29,TZ,1561313047,40,-4.28,33.88,72.97,5.39
54,Bytow,0,PL,1561312782,59,54.17,17.49,68.0,6.93
55,Marsaxlokk,0,MT,1561313048,61,35.84,14.54,82.4,8.05
56,Kropotkin,100,RU,1561313048,76,45.43,40.58,73.51,12.48
57,Ushuaia,90,AR,1561312939,56,-54.81,-68.31,42.8,4.7
58,Batagay,18,RU,1561313049,56,67.65,134.64,62.89,3.74
59,Zaysan,77,KZ,1561313050,67,47.47,84.87,50.29,9.24
60,Gympie,95,AU,1561313050,86,-26.2,152.66,51.01,1.01
61,Strezhevoy,0,RU,1561313051,93,60.73,77.6,48.2,5.1
62,Bulgan,91,MN,1561313051,88,48.81,103.53,57.31,2.8
63,Bredasdorp,45,ZA,1561313051,93,-34.53,20.04,50.0,4.7
64,Thompson,90,CA,1561312869,77,55.74,-97.86,62.6,8.05
65,Nikolskoye,20,RU,1561313052,39,59.7,30.79,66.2,6.71
66,Carnarvon,0,ZA,1561313053,56,-30.97,22.13,47.77,5.06
67,Bada,0,NG,1561313053,26,12.41,4.51,99.79,2.55
68,Kupang,0,ID,1561312789,75,-10.16,123.6,76.57,17.65
69,Lata,100,IN,1561313054,71,30.78,78.62,43.63,6.8
70,Sumbe,75,AO,1561313054,78,-11.2,13.84,75.2,10.29
71,Portland,90,US,1561312732,59,45.52,-122.67,64.99,5.82
72,Talaya,40,RU,1561313055,93,55.79,84.89,57.2,6.71
73,Puerto Ayora,16,EC,1561313055,68,-0.74,-90.35,75.85,18.32
74,Barrow,50,AR,1561313056,52,-38.31,-60.23,61.99,8.05
75,Tottori,41,JP,1561313056,93,35.5,134.23,61.63,1.57
76,Namibe,90,AO,1561313056,78,-15.19,12.15,71.6,10.29
77,Adrar,0,DZ,1561313057,5,27.87,-0.29,109.4,9.17
78,Takoradi,100,GH,1561313057,93,4.89,-1.75,75.31,4.45
79,Kyrksaeterora,75,NO,1561313058,81,63.29,9.09,55.0,17.22
80,Bilma,0,NE,1561313058,7,18.69,12.92,100.15,7.96
81,Cape Town,0,ZA,1561313058,93,-33.93,18.42,57.0,4.7
82,Luderitz,0,NA,1561313059,40,-26.65,15.16,68.0,4.7
83,Duldurga,100,RU,1561313059,97,50.67,113.59,55.69,3.22
84,Beterou,97,BJ,1561313060,71,9.2,2.26,82.51,5.68
85,Narsaq,75,GL,1561313060,58,60.91,-46.05,53.6,11.41
86,Torbay,90,CA,1561313061,81,47.66,-52.73,52.0,31.09
87,Mar del Plata,0,AR,1561313061,48,-46.43,-67.52,50.83,25.1
88,Gwanda,0,ZW,1561313061,47,-20.94,29.0,61.09,4.29
89,Bilibino,13,RU,1561313062,45,68.06,166.44,57.67,1.14
90,Provideniya,100,RU,1561313062,86,64.42,-173.23,43.63,3.98
91,Upernavik,100,GL,1561313062,85,72.79,-56.15,36.43,14.18
92,Half Moon Bay,5,US,1561313063,64,37.46,-122.43,82.99,5.95
93,Ponta do Sol,19,BR,1561313063,56,-20.63,-46.0,71.17,6.6
94,Avera,1,US,1561313064,58,33.19,-82.53,91.0,9.17
95,Fuente Palmera,0,ES,1561313064,29,37.7,-5.1,89.6,12.75
96,Mount Gambier,75,AU,1561312794,86,-37.83,140.78,32.0,9.33
97,Zhigansk,57,RU,1561313065,69,66.77,123.37,62.89,12.8
98,Necochea,64,AR,1561313065,78,-38.55,-58.74,60.01,5.99
99,Cedar City,1,US,1561312793,23,37.68,-113.06,66.0,5.82
100,Fairbanks,75,US,1561312878,93,64.84,-147.72,60.8,1.61
101,Bandarbeyla,27,SO,1561313066,53,9.49,50.81,83.41,22.1
102,Mumford,100,GH,1561313066,94,5.26,-0.76,74.77,7.36
103,Kodiak,75,US,1561313067,77,39.95,-94.76,70.0,5.82
104,Saint-Denis,0,FR,1561313067,54,48.94,2.36,84.0,13.87
105,Brigantine,1,US,1561313020,32,39.41,-74.36,86.0,8.05
106,Dikson,100,RU,1561313068,82,73.51,80.55,38.95,15.73
107,Castro,75,CL,1561313068,93,-42.48,-73.76,50.0,13.87
108,Kavaratti,100,IN,1561313069,79,10.57,72.64,82.87,20.36
109,Moerai,22,PF,1561313069,68,-22.43,-151.33,70.09,20.54
110,Rocha,100,UY,1561313070,82,-34.48,-54.34,70.81,12.03
111,Bireun,59,ID,1561313070,84,5.2,96.7,68.83,5.48
112,San Pedro,99,AR,1561313072,88,-33.68,-59.66,66.0,3.0
113,Dingle,93,PH,1561313072,86,11.0,122.67,76.03,4.88
114,Hithadhoo,3,MV,1561313072,68,-0.6,73.08,84.49,6.62
115,Iqaluit,75,CA,1561312974,53,63.75,-68.52,51.8,25.28
116,Kyshtovka,5,RU,1561313073,90,56.56,76.62,49.93,7.29
117,Zyryanka,41,RU,1561313074,49,65.73,150.89,61.09,6.87
118,Payo,76,ID,1561313074,94,-3.75,103.64,66.31,3.29
119,Cherskiy,21,RU,1561313075,43,68.75,161.3,65.59,2.33
120,Shieli,0,KZ,1561313075,16,44.18,66.74,82.69,17.72
121,Kysyl-Syr,100,RU,1561313076,98,63.9,122.77,52.63,4.99
122,Bossangoa,51,CF,1561313076,80,6.5,17.45,76.03,1.23
123,Plettenberg Bay,8,ZA,1561313076,88,-34.05,23.37,52.45,3.22
124,Hermanus,80,ZA,1561313077,96,-34.42,19.24,55.0,2.04
125,Kapaa,75,US,1561313056,88,22.08,-159.32,78.8,8.05
126,Labuhan,25,ID,1561313077,92,-2.54,115.51,72.25,1.9
127,Emba,20,CY,1561313078,88,34.81,32.42,78.8,9.17
128,Longyearbyen,75,NO,1561313079,66,78.22,15.63,48.2,5.82
129,Tendukheda,18,IN,1561313079,54,23.4,79.54,89.17,3.49
130,Neftcala,0,AZ,1561313079,60,39.37,49.25,81.97,5.3
131,Witu,20,KE,1561313080,87,-2.39,40.44,78.8,9.28
132,Jamestown,0,AU,1561312818,72,-33.21,138.6,39.13,10.22
133,Itarema,63,BR,1561313080,64,-2.92,-39.92,84.85,7.58
134,Ixtapa,5,MX,1561313081,55,20.71,-105.21,87.01,6.93
135,Muros,20,ES,1561313081,77,42.77,-9.06,70.0,8.05
136,Lere,32,TD,1561313081,66,9.66,14.23,85.03,4.41
137,Airai,35,TL,1561313082,83,-8.93,125.41,67.75,5.79
138,South River,90,CA,1561313082,81,47.54,-53.27,52.0,31.09
139,Nanortalik,100,GL,1561313083,82,60.14,-45.24,42.19,4.21
140,Tuatapere,100,NZ,1561313083,96,-46.13,167.69,46.99,5.01
141,Waipawa,98,NZ,1561313083,95,-39.94,176.59,44.01,5.17
142,Quartucciu,0,IT,1561313084,69,39.25,9.18,84.2,11.41
143,Sibolga,88,ID,1561313032,63,1.74,98.78,83.95,2.77
144,Tiksi,0,RU,1561313084,68,71.64,128.87,48.49,11.03
145,Abha,0,SA,1561313085,10,18.22,42.5,80.6,9.17
146,Umm Bab,1,QA,1561313086,29,25.21,50.81,98.6,6.93
147,Maragogi,40,BR,1561313086,78,-9.01,-35.22,78.19,9.73
148,Grootfontein,0,NA,1561313087,61,-19.56,18.1,48.13,3.4
149,Sompeta,8,IN,1561313087,80,18.93,84.6,80.53,4.79
150,Dwarka,40,IN,1561313088,55,28.58,77.04,91.99,9.17
151,Zhangzhou,75,CN,1561313088,94,24.51,117.65,75.2,4.47
152,Okhotsk,75,RU,1561313088,88,59.36,143.24,43.09,4.41
153,Olonets,0,RU,1561313089,58,60.98,32.97,53.89,15.59
154,Salalah,75,OM,1561313089,89,17.01,54.1,84.2,8.05
155,Berlevag,0,NO,1561313090,75,70.86,29.09,44.6,5.82
156,Vrangel,83,RU,1561313090,97,42.73,133.08,53.71,1.23
157,Sitka,32,US,1561313090,69,37.17,-99.65,72.0,1.99
158,Harnosand,75,SE,1561313091,87,62.63,17.94,63.0,1.12
159,Kaitangata,68,NZ,1561313092,84,-46.28,169.85,44.01,4.0
160,Chachapoyas,56,PE,1561313092,36,-6.23,-77.87,67.93,5.95
161,Atar,0,MR,1561313092,9,20.52,-13.05,102.31,12.48
162,Nemuro,62,JP,1561313093,96,43.32,145.57,47.05,16.78
163,Dzidzantun,48,MX,1561313093,73,21.25,-89.05,84.49,15.59
164,Sao Felix do Xingu,93,BR,1561312866,44,-6.64,-51.99,87.01,6.62
165,Lebu,49,ET,1561313094,82,8.96,38.73,59.29,1.81
166,Arai,90,JP,1561313094,100,35.71,139.67,69.01,6.93
167,Acapulco,75,MX,1561313095,79,16.86,-99.88,84.2,2.24
168,Srednekolymsk,33,RU,1561313095,46,67.46,153.71,63.25,9.51
169,Vila,0,IT,1561313096,35,45.18,8.4,87.01,5.82
170,Saint-Philippe,1,CA,1561313096,36,45.36,-73.48,81.0,9.17
171,Batagay-Alyta,98,RU,1561313097,76,67.8,130.41,55.33,7.78
172,Pevek,63,RU,1561313097,71,69.7,170.27,36.97,8.34
173,Mandalgovi,38,MN,1561313098,66,45.76,106.27,63.25,2.17
174,Vila Velha,20,BR,1561313098,62,-3.71,-38.6,86.0,12.75
175,Wadi Musa,0,JO,1561313098,61,30.32,35.48,76.93,16.22
176,Chipinge,65,ZW,1561313099,58,-20.19,32.62,64.87,4.16
177,Hualmay,74,PE,1561313099,82,-11.1,-77.61,62.89,11.52
178,Machico,40,PT,1561313099,78,32.7,-16.77,73.99,5.82
179,Vung Tau,100,VN,1561313100,85,10.35,107.08,81.61,9.51
180,Jumla,100,NP,1561313100,96,29.28,82.18,50.83,2.64
181,Nome,75,US,1561313100,63,30.04,-94.42,91.99,12.75
182,Kenora,0,CA,1561313101,72,49.76,-94.48,71.6,8.05
183,Chuy,100,UY,1561313101,77,-33.69,-53.46,71.89,10.87
184,San Patricio,15,PY,1561313101,60,-26.98,-56.83,79.45,9.42
185,Ayagoz,17,KZ,1561313102,56,47.96,80.43,48.67,9.4
186,Port Elizabeth,1,US,1561313103,37,39.31,-74.98,84.99,5.82
187,Hasaki,75,JP,1561313103,93,35.73,140.83,66.2,10.29
188,Yagodnoye,35,RU,1561313103,80,62.52,149.63,48.31,2.35
189,Tommot,29,RU,1561313104,96,58.97,126.27,49.75,5.03
190,Dire,49,ET,1561313104,82,9.18,38.92,59.29,1.81
191,Payson,1,US,1561312906,23,40.04,-111.73,73.0,3.18
192,Carbonia,0,IT,1561313105,69,39.17,8.53,84.2,12.75
193,Ilulissat,75,GL,1561313105,52,69.22,-51.1,44.6,4.7
194,Nizwa,54,OM,1561313106,21,22.93,57.53,90.25,4.05
195,Borovskoy,98,KZ,1561313106,79,53.8,64.15,67.39,9.8
196,Presidente Medici,0,BR,1561313107,45,-11.18,-61.9,89.89,2.75
197,Pitimbu,75,BR,1561313107,65,-7.47,-34.81,82.4,14.99
198,Fukue,75,JP,1561313108,88,35.03,136.69,68.0,5.82
199,Kaoma,0,ZM,1561313108,42,-14.8,24.8,61.27,2.59
200,Tambovka,93,UA,1561313108,87,46.93,35.45,68.65,9.64
201,Novo Horizonte,0,BR,1561313109,26,-12.81,-42.17,88.81,10.83
202,Brownfield,20,US,1561313044,31,33.18,-102.27,91.4,12.75
203,Soe,33,EE,1561313110,37,57.91,26.05,71.6,6.93
204,Egvekinot,7,RU,1561313110,65,66.32,-179.17,41.11,3.85
205,Souillac,0,FR,1561313111,48,45.6,-0.6,84.0,10.29
206,Mahebourg,75,MU,1561313089,78,-20.41,57.7,71.6,14.99
207,Bereda,20,ES,1561313111,64,43.27,-7.54,70.0,10.29
208,Sawtell,75,AU,1561313112,87,-30.38,153.1,52.0,10.29
209,Ca Mau,100,VN,1561313112,91,9.18,105.15,78.01,4.7
210,Cadillac,1,US,1561313113,31,44.25,-85.4,82.0,14.99
211,Grand Gaube,75,MU,1561313113,78,-20.01,57.66,71.6,14.99
212,Baiyin,75,CN,1561313113,100,36.55,104.13,60.8,2.24
213,Yar-Sale,81,RU,1561313114,58,66.83,70.83,55.87,12.48
214,Selma,20,US,1561313114,35,36.57,-119.61,91.0,5.82
215,Qaanaaq,100,GL,1561313114,71,77.48,-69.36,32.65,12.19
216,Mersing,98,MY,1561313115,90,2.43,103.84,75.85,2.01
217,Komsomolskiy,100,RU,1561313115,93,67.55,63.78,43.09,15.43
218,Grants Pass,1,US,1561313116,46,42.44,-123.33,73.0,2.64
219,Yangambi,81,CD,1561313117,69,0.77,24.47,78.19,1.39
220,Rio Grande,0,BR,1561313117,42,-32.03,-52.1,84.2,10.29
221,Kongwa,4,TZ,1561313118,58,-6.19,36.41,68.65,7.81
222,Saint Anthony,20,US,1561313118,34,43.97,-111.68,68.0,18.34
223,Tarakan,79,ID,1561312946,81,3.3,117.63,81.07,0.51
224,Obidos,75,PT,1561313119,78,39.36,-9.16,75.99,8.05
225,Imeni Poliny Osipenko,100,RU,1561313119,97,52.42,136.49,48.85,3.53
226,Guerrero Negro,100,MX,1561313120,79,27.97,-114.04,61.99,9.64
227,Cidreira,33,BR,1561313120,56,-30.17,-50.22,77.83,9.86
228,Chirongui,0,YT,1561313120,83,-12.93,45.15,78.8,6.93
229,Menongue,0,AO,1561313121,31,-14.66,17.68,58.75,1.9
230,Pundaguitan,100,PH,1561313121,77,6.37,126.17,82.33,4.43
231,Talnakh,0,RU,1561313121,93,69.49,88.39,42.8,4.47
232,La Rioja,0,AR,1561313122,34,-29.41,-66.86,73.87,4.43
233,Casper,1,US,1561312930,62,42.87,-106.31,62.01,10.29
234,Kiunga,79,PG,1561313123,99,-6.12,141.3,71.35,1.32
235,Bathsheba,40,BB,1561312923,78,13.22,-59.52,82.4,5.82
236,Noumea,100,NC,1561313124,93,-22.28,166.46,66.2,4.7
237,Kuusamo,90,FI,1561313124,93,65.96,29.19,46.4,8.05
238,Ler,75,NO,1561313124,66,63.2,10.3,55.0,23.04
239,Davila,100,PH,1561313125,73,18.47,120.58,85.21,8.57
240,Tigil,23,RU,1561313125,89,57.8,158.67,40.57,3.27
241,Severo-Yeniseyskiy,83,RU,1561313125,63,60.37,93.04,61.99,2.93
242,Borogontsy,1,RU,1561312967,76,62.67,131.17,55.33,5.88
243,Powell River,75,CA,1561313126,62,49.84,-124.52,64.0,9.17
244,Milkovo,20,BG,1561313126,74,41.53,24.68,82.99,1.16
245,Manzanillo,43,CU,1561313127,70,20.34,-77.12,85.93,4.85
246,Bosaso,95,SO,1561313127,70,11.28,49.18,86.83,8.68
247,Barcelos,40,PT,1561313128,88,41.53,-8.62,71.01,5.82
248,Arlit,11,NE,1561313128,9,18.74,7.39,107.89,7.45
249,Amberley,71,NZ,1561313128,86,-43.15,172.73,41.0,3.36
250,Nago,0,IT,1561313129,40,45.88,10.89,86.0,6.93
251,San Juan,75,PR,1561312977,70,18.47,-66.12,91.99,13.87
252,Tateyama,100,JP,1561313130,90,36.66,137.31,71.01,2.98
253,Jalu,0,LY,1561313131,21,29.03,21.55,92.77,6.53
254,Bethel,90,US,1561313131,93,60.79,-161.76,57.2,8.05
255,Sao Joao da Barra,75,BR,1561312923,73,-21.64,-41.05,77.0,8.05
256,Ierapetra,0,GR,1561313132,58,35.01,25.74,84.0,4.7
257,Port Lincoln,68,AU,1561313133,53,-34.72,135.86,52.99,23.22
258,Suffolk,40,US,1561313133,37,36.73,-76.58,86.0,3.36
259,Tilichiki,100,RU,1561313137,89,60.47,166.1,46.87,1.72
260,Chokurdakh,0,RU,1561313137,54,70.62,147.9,61.63,10.02
261,Marrakesh,0,MA,1561313138,20,31.63,-7.99,93.2,6.93
262,Ribeira Grande,20,PT,1561313138,53,38.52,-28.7,71.6,13.87
263,Pacific Grove,1,US,1561313040,72,36.62,-121.92,84.99,8.05
264,Lapa,0,BR,1561313139,49,-25.77,-49.72,73.0,13.87
265,Saldanha,99,PT,1561313139,71,41.42,-6.55,69.01,2.26
266,Gwadar,0,PK,1561313140,84,25.12,62.33,84.49,6.26
